Model,Range (km),Battery size (kWh),Efficiency (kWh/100km),Fastcharge speed (km/h),Price (approx.) € 
Abarth 500e Convertible ,225,37.8,17,370,41200
Abarth 500e Hatchback ,225,37.8,17,370,38200
Aiways U5 ,315,60,19,380,41300
Aiways U6 ,350,60,17,430,48300
Audi e-tron GT quattro ,420,85,20,1030,108600
Audi e-tron GT RS ,405,85,21,1000,150400
Audi Q4 e-tron 40 ,405,76.6,19,630,55700
Audi Q4 e-tron 45 ,420,77,18,630,53900
Audi Q4 e-tron 45 quattro ,395,77,20,590,55900
Audi Q4 e-tron 50 quattro ,385,76.6,20,550,64500
Audi Q4 e-tron 55 quattro ,395,77,20,590,61800
Audi Q4 Sportback e-tron 40 ,425,76.6,18,660,57700
Audi Q4 Sportback e-tron 45 ,435,77,18,650,55900
Audi Q4 Sportback e-tron 45 quattro ,415,77,19,620,57900
Audi Q4 Sportback e-tron 50 quattro ,400,76.6,19,570,66500
Audi Q4 Sportback e-tron 55 quattro ,415,77,19,620,63800
Audi Q8 e-tron 50 quattro ,420,89,21,650,72900
Audi Q8 e-tron 55 quattro ,495,106,21,630,84100
Audi Q8 e-tron Sportback 50 quattro ,445,89,20,690,75200
Audi Q8 e-tron Sportback 55 quattro ,525,106,20,660,86500
Audi SQ8 e-tron ,455,106,23,570,97500
Audi SQ8 e-tron Sportback ,480,106,22,610,99800
BMW i4 eDrive35 ,430,67,16,580,57900
BMW i4 eDrive40 ,515,80.7,16,800,61100
BMW i4 M50 ,450,80.7,18,700,73800
BMW i5 eDrive40 Sedan ,475,81.2,17,710,73900
BMW i5 M60 xDrive Sedan ,425,81.2,19,630,104000
BMW i7 eDrive50 ,520,101.7,20,780,119100
BMW i7 M70 xDrive ,490,101.7,21,730,185800
BMW i7 xDrive60 ,510,101.7,20,760,142700
BMW iX M60 ,485,105.2,22,650,137200
BMW iX xDrive40 ,360,71,20,480,81100
BMW iX xDrive50 ,505,105.2,21,680,102600
BMW iX1 eDrive20 ,385,64.7,17,550,48100
BMW iX1 xDrive30 ,370,64.7,18,530,56400
BMW iX3 ,385,74,19,520,69400
BYD ATTO 3 ,330,60.5,18,370,43800
BYD DOLPHIN 44.9 kWh Active ,255,44.9,18,260,30000
BYD DOLPHIN 44.9 kWh Boost ,255,44.9,18,260,32900
BYD DOLPHIN 60.4 kWh ,340,60.5,18,340,36400
BYD HAN ,475,85.4,18,450,71100
BYD SEAL 82.5 kWh AWD Excellence ,485,82.5,17,530,52100
BYD SEAL 82.5 kWh RWD Design ,500,82.5,17,550,47600
BYD TANG ,360,86.4,24,330,72400
Citroen e-Berlingo M 50 kWh ,205,46.3,23,330,39800
